temp_c,humidity,wind_kmh,rain_prob,days_since_spray,stage_encoded,min_interval,growth_stage,label
39.2,47.9,6.2,6,17,9,14,Fruit Development-II,SKIP
12.2,68.2,21.9,27.8,17,5,14,Petal Fall,DELAY
10.1,37.9,12.4,32.3,14,7,14,Fruit Set,DELAY
33.9,62.4,23.5,36.5,14,2,14,Tight Cluster,DELAY
27.9,64.4,9.7,17.1,16,7,14,Fruit Set,SPRAY
27.1,55.2,20.9,52.5,11,5,14,Petal Fall,DELAY
40,77,12.5,17.2,20,14,21,Post-Harvest,SKIP
28.8,55.9,16.1,32.4,20,14,21,Post-Harvest,DELAY
20.8,65.7,16.4,27.3,13,8,14,Fruit Development-I,DELAY
28.6,28.2,26.5,10.7,15,7,14,Fruit Set,DELAY
-2.7,32.4,5.9,25.3,18,6,14,Fruitlet,SKIP
29.6,49.7,12.1,35.6,19,0,21,Delayed Dormancy,DELAY
28.4,77,26.4,39.6,2,13,0,Harvest,DELAY
16,68.5,24.8,46.7,3,13,0,Harvest,DELAY
21.2,84,21.5,44.9,7,4,10,Flowering,DELAY
38.5,32.7,4.6,21.3,12,13,0,Harvest,SPRAY
31.9,41.4,13.3,25.6,15,8,14,Fruit Development-I,DELAY
14.6,67.3,24.5,44.6,17,1,14,Green Tip,DELAY
9.2,26.3,14.4,28.8,20,0,21,Delayed Dormancy,DELAY
9.8,70.5,24.3,30,15,3,14,Pink Bud,DELAY
7.9,45.2,21.3,52.9,15,3,14,Pink Bud,DELAY
10.7,82.6,8.8,56.9,20,12,14,Pre-Harvest,DELAY
23.6,32.9,27.7,48.5,13,9,14,Fruit Development-II,DELAY
4.5,67.1,12.2,37.6,3,13,0,Harvest,DELAY
15,83,19.4,29.6,12,3,14,Pink Bud,DELAY
35.1,75.4,19.4,49.8,15,8,14,Fruit Development-I,DELAY
27.3,58.5,12.3,63.7,17,8,14,Fruit Development-I,DELAY
1,41.3,3.6,7.8,18,12,14,Pre-Harvest,SKIP
20.6,37.4,15.9,37.2,15,8,14,Fruit Development-I,DELAY
25.3,56.9,24.7,27.8,12,7,14,Fruit Set,DELAY
13,62.8,19.6,40.9,14,12,14,Pre-Harvest,DELAY
-3.1,63.3,4.4,20.8,20,10,14,Fruit Development-III,SKIP
39.2,78.8,11.7,8.3,16,5,14,Petal Fall,SKIP
11.8,31.8,0.8,8.2,2,5,14,Petal Fall,SKIP
21.5,48.8,4.8,4.1,20,15,21,Dormancy,SPRAY
19.2,78.4,18.4,27.2,16,8,14,Fruit Development-I,DELAY
29.9,33.4,3.5,15.6,6,1,14,Green Tip,SPRAY
15.7,84.1,16.8,42.7,14,7,14,Fruit Set,DELAY
4.2,87.4,13.6,47.9,16,9,14,Fruit Development-II,DELAY
13.1,37,0.8,0.1,18,6,14,Fruitlet,SPRAY
15.3,66.3,12,55.4,20,15,21,Dormancy,DELAY
24.5,68,26.9,37.8,15,8,14,Fruit Development-I,DELAY
34.7,78.7,13.1,30,13,7,14,Fruit Set,DELAY
18.9,44.8,18.4,33.2,15,9,14,Fruit Development-II,DELAY
23.5,82.8,23.8,43.1,18,15,21,Dormancy,DELAY
21.9,30.8,10.7,23,9,2,14,Tight Cluster,SPRAY
8.3,58.7,19.1,33.3,15,1,14,Green Tip,DELAY
19.7,30.9,17.6,35,0,13,0,Harvest,DELAY
-3,47.3,4.4,9.1,20,5,14,Petal Fall,SKIP
31.7,25.1,25.9,38.9,11,12,14,Pre-Harvest,DELAY
24.4,57.4,19.1,26.5,13,6,14,Fruitlet,DELAY
17.8,70.4,13.9,54.2,11,4,10,Flowering,DELAY
13.2,25.9,18.5,31.7,17,7,14,Fruit Set,DELAY
6.2,79.1,20,46.5,15,3,14,Pink Bud,DELAY
19.4,55.7,19.3,29.3,12,8,14,Fruit Development-I,DELAY
11.9,76.4,18.6,53,11,4,10,Flowering,DELAY
12.2,44.4,21.4,55,14,8,14,Fruit Development-I,DELAY
19.4,46.6,24.2,36.3,9,4,10,Flowering,DELAY
10.6,49.9,25.7,37.3,13,6,14,Fruitlet,DELAY
31.2,50.1,22.6,49.6,18,15,21,Dormancy,DELAY
6.5,87.7,17.3,28,19,15,21,Dormancy,DELAY
18.4,72,18.6,44.6,12,3,14,Pink Bud,DELAY
36.9,47,23.1,44.5,17,2,14,Tight Cluster,DELAY
32.9,49.7,17.1,46.6,17,10,14,Fruit Development-III,DELAY
3.3,29.4,22.1,52.6,18,15,21,Dormancy,DELAY
5.5,66.2,26,38.3,16,2,14,Tight Cluster,DELAY
3.7,76.7,16.7,36.2,12,9,14,Fruit Development-II,DELAY
22.4,76.5,14.7,27.4,17,7,14,Fruit Set,DELAY
10.7,84.3,14.3,38.8,13,12,14,Pre-Harvest,DELAY
28,48.6,3.2,12,20,14,21,Post-Harvest,SPRAY
37.6,44.4,27.4,45.7,19,14,21,Post-Harvest,DELAY
38.2,54.3,8,27.8,16,9,14,Fruit Development-II,SPRAY
25.7,42.8,21.1,45.6,20,0,21,Delayed Dormancy,DELAY
28.8,79.1,26.4,48.3,12,1,14,Green Tip,DELAY
22.7,82.1,10.1,83.6,20,11,14,Fruit Development-IV,DELAY
34.5,67,16.9,38.2,11,4,10,Flowering,DELAY
5.2,44.2,24,30.3,12,11,14,Fruit Development-IV,DELAY
34.9,79,16.1,49.7,14,11,14,Fruit Development-IV,DELAY
14.2,32.5,27.4,29.2,12,9,14,Fruit Development-II,DELAY
31,48.8,24.7,25.4,15,12,14,Pre-Harvest,DELAY
26.2,68.7,21.4,49.7,13,3,14,Pink Bud,DELAY
19,65.3,27.1,34.8,15,3,14,Pink Bud,DELAY
24.9,55.2,23.2,44.5,11,7,14,Fruit Set,DELAY
16.1,49.7,1.1,19.5,13,4,10,Flowering,SPRAY
26.1,73.3,27.1,37.6,16,12,14,Pre-Harvest,DELAY
25.6,79.2,21.9,53.2,9,4,10,Flowering,DELAY
9.8,53.9,15.8,35.9,16,1,14,Green Tip,DELAY
37.2,48.3,18.4,30.7,11,11,14,Fruit Development-IV,DELAY
23.1,78.9,0.3,89.8,20,14,21,Post-Harvest,DELAY
9.4,78.9,20.9,42.6,13,4,10,Flowering,DELAY
26.4,78.8,3.9,99.2,15,7,14,Fruit Set,DELAY
6,81.3,14.1,35.7,17,8,14,Fruit Development-I,DELAY
2.6,42.2,14,37.6,11,7,14,Fruit Set,DELAY
30,58.4,13.7,40.1,15,2,14,Tight Cluster,DELAY
34.7,67.8,16.8,44.3,11,1,14,Green Tip,DELAY
32.5,52.7,13.7,46.4,14,1,14,Green Tip,DELAY
13.6,34.6,14,43.7,15,2,14,Tight Cluster,DELAY
20.7,48.1,8.5,2.8,1,10,14,Fruit Development-III,SKIP
34,51.9,25.2,37,16,6,14,Fruitlet,DELAY
23.6,40,26.5,25.8,14,3,14,Pink Bud,DELAY
5.4,31.3,23.8,49.4,15,2,14,Tight Cluster,DELAY
22.2,46.4,14,35.6,16,1,14,Green Tip,DELAY
28,87.9,21.6,35.5,1,13,0,Harvest,DELAY
10.1,32,25.5,36,13,4,10,Flowering,DELAY
31.1,79.9,27.6,49.6,15,8,14,Fruit Development-I,DELAY
25.7,70.1,12.5,33.2,19,0,21,Delayed Dormancy,DELAY
28.1,77.7,5.6,58.8,19,10,14,Fruit Development-III,DELAY
13.7,46.8,4.8,10.4,10,0,21,Delayed Dormancy,SPRAY
7.6,74,12.8,27.4,14,2,14,Tight Cluster,DELAY
17.9,42.8,24.1,28.4,3,13,0,Harvest,DELAY
19.7,56.7,0.6,11.1,9,3,14,Pink Bud,SPRAY
29.8,55.7,32.6,8.1,14,1,14,Green Tip,DELAY
17.5,33.4,20.5,31.9,20,0,21,Delayed Dormancy,DELAY
18.7,48.4,0.9,6.9,18,11,14,Fruit Development-IV,SPRAY
17,32.5,12.3,34.7,17,12,14,Pre-Harvest,DELAY
35.1,30.7,25.5,32.3,20,14,21,Post-Harvest,DELAY
16.2,45.2,17.4,35,12,12,14,Pre-Harvest,DELAY
6.1,58.1,26.5,35.5,16,2,14,Tight Cluster,DELAY
14.6,61.9,2.1,88.4,11,4,10,Flowering,DELAY
24.6,55.2,21,42.4,16,5,14,Petal Fall,DELAY
24.6,34.8,13.1,38.3,13,10,14,Fruit Development-III,DELAY
14.7,29.8,19.4,26.1,13,8,14,Fruit Development-I,DELAY
22.3,50.3,5.1,12.2,20,9,14,Fruit Development-II,SPRAY
31.2,67.4,17.1,39.3,12,1,14,Green Tip,DELAY
31.2,79.4,27.7,27.5,16,1,14,Green Tip,DELAY
1.9,41.8,12.9,10.8,20,5,14,Petal Fall,SPRAY
3.9,66,17.4,34.9,15,10,14,Fruit Development-III,DELAY
28.2,43.3,8.2,4,5,12,14,Pre-Harvest,SPRAY
27.1,50.5,21.5,53.1,13,9,14,Fruit Development-II,DELAY
13.8,33.3,23.2,53.4,16,12,14,Pre-Harvest,DELAY
17.2,48.5,17.8,30.4,12,2,14,Tight Cluster,DELAY
19.5,39.7,14.2,27.3,17,10,14,Fruit Development-III,DELAY
21.4,73,20.4,44.9,17,3,14,Pink Bud,DELAY
7.6,36.8,23.1,43.7,8,4,10,Flowering,DELAY
23.9,34.5,29.4,8,20,14,21,Post-Harvest,DELAY
13.1,77.6,19.5,50.1,13,7,14,Fruit Set,DELAY
12.1,49.8,20.4,54,18,14,21,Post-Harvest,DELAY
3.9,56.2,17.9,53,12,4,10,Flowering,DELAY
15,91.2,2.1,73,15,3,14,Pink Bud,DELAY
35.5,52,18.3,36.2,19,14,21,Post-Harvest,DELAY
16.4,34,7.9,7.4,16,2,14,Tight Cluster,SPRAY
38.3,46.9,0.1,2.2,14,4,10,Flowering,SPRAY
21.8,72.3,20.4,28.3,13,6,14,Fruitlet,DELAY
14.8,55.6,6.9,1.4,18,7,14,Fruit Set,SPRAY
22.7,71.7,16.7,25,19,0,21,Delayed Dormancy,DELAY
8.7,68.4,20.4,35.8,15,7,14,Fruit Set,DELAY
38.8,35.2,0.2,22.1,20,0,21,Delayed Dormancy,SKIP
24.6,75.1,23.8,35,11,7,14,Fruit Set,DELAY
31.3,36.4,24.5,38.9,16,11,14,Fruit Development-IV,DELAY
31.2,29.1,24.4,38.7,19,15,21,Dormancy,DELAY
28.5,67.6,4.3,71.1,20,6,14,Fruitlet,DELAY
15.3,89.5,0.7,83.5,20,15,21,Dormancy,DELAY
17.7,51,19,53.7,13,3,14,Pink Bud,DELAY
19.9,85.1,20.3,49,16,5,14,Petal Fall,DELAY
30.9,37.2,4.1,2.9,1,13,0,Harvest,SPRAY
24.8,36.7,6.2,12.5,5,9,14,Fruit Development-II,SPRAY
11.5,55.5,4,17.6,6,13,0,Harvest,SPRAY
23.9,47.5,1.8,6.6,11,0,21,Delayed Dormancy,SPRAY
9.7,36.1,6.3,10.4,7,11,14,Fruit Development-IV,SPRAY
21.1,50.9,22.4,32.5,11,2,14,Tight Cluster,DELAY
20,50.2,21,32.9,19,0,21,Delayed Dormancy,DELAY
15.3,66.7,6.9,3.4,2,14,21,Post-Harvest,SKIP
39.6,60.1,9.9,15.4,20,14,21,Post-Harvest,SKIP
27.6,85.3,22.2,48.8,15,9,14,Fruit Development-II,DELAY
26.4,64.5,6.9,69.3,18,7,14,Fruit Set,DELAY
37.4,33.4,26.1,27,14,11,14,Fruit Development-IV,DELAY
29.7,78.5,13.2,54.2,20,15,21,Dormancy,DELAY
26.5,47.4,26,48.4,16,2,14,Tight Cluster,DELAY
6.6,57.7,25.9,49.9,15,5,14,Petal Fall,DELAY
16.1,83.4,4.8,97.2,14,4,10,Flowering,DELAY
15,55,8.6,2.6,10,2,14,Tight Cluster,SPRAY
22.9,36.1,22,52.1,13,5,14,Petal Fall,DELAY
3,28,22.3,42.3,16,1,14,Green Tip,DELAY
17,66.5,20,43.8,13,6,14,Fruitlet,DELAY
31,69.5,16.8,27.2,11,9,14,Fruit Development-II,DELAY
19.4,38.3,21.7,34.4,16,5,14,Petal Fall,DELAY
33,88.4,14.1,36.1,15,10,14,Fruit Development-III,DELAY
-4.1,25.8,4.1,10.8,18,3,14,Pink Bud,SKIP
26.9,92.4,10.1,61.1,5,13,0,Harvest,DELAY
18.8,82.1,20,27.7,19,15,21,Dormancy,DELAY
9.7,47.9,12.8,39.8,20,14,21,Post-Harvest,DELAY
26.9,47.2,9.7,16,20,15,21,Dormancy,SPRAY
21.4,37.8,6.1,1.6,19,11,14,Fruit Development-IV,SPRAY
12.1,89.3,22.9,28.6,18,14,21,Post-Harvest,DELAY
21.3,39.6,26.4,16.9,17,12,14,Pre-Harvest,DELAY
24.7,87.2,7.3,59.1,18,1,14,Green Tip,DELAY
16,45.7,8.6,23.6,4,4,10,Flowering,SPRAY
20.3,56.8,21,39.2,11,10,14,Fruit Development-III,DELAY
29.6,53.3,8.8,16,20,11,14,Fruit Development-IV,SPRAY
11.6,67.6,27.6,42.4,18,0,21,Delayed Dormancy,DELAY
8.1,65.9,21.9,50.2,12,1,14,Green Tip,DELAY
13.8,47.6,4.6,9.1,16,7,14,Fruit Set,SPRAY
24,55.7,25.6,46.8,1,13,0,Harvest,DELAY
37.9,56.1,18,53.7,14,6,14,Fruitlet,DELAY
26.3,81.4,22.9,49.1,13,10,14,Fruit Development-III,DELAY
15.1,66.9,13.2,99.1,20,15,21,Dormancy,DELAY
19.6,56.2,21,53,16,6,14,Fruitlet,DELAY
23.9,45.2,13.7,22.9,2,8,14,Fruit Development-I,SKIP
16.9,47.7,2.8,10.5,16,9,14,Fruit Development-II,SPRAY
27.1,33.9,21.9,42.6,12,8,14,Fruit Development-I,DELAY
21.1,66.5,12.8,37.4,16,1,14,Green Tip,DELAY
9.1,77,13,71.5,20,15,21,Dormancy,DELAY
29.2,43.7,16.6,26.8,18,15,21,Dormancy,DELAY
28,85.9,26.6,30.3,17,7,14,Fruit Set,DELAY
3.3,79.4,24.6,30.6,16,5,14,Petal Fall,DELAY
2.3,61.9,13.7,54.5,13,9,14,Fruit Development-II,DELAY
21.6,57.1,27,50.5,19,14,21,Post-Harvest,DELAY
16.6,59.2,7.1,15.8,15,8,14,Fruit Development-I,SPRAY
22.4,74.2,14.8,50.7,14,10,14,Fruit Development-III,DELAY
5.1,68.5,15,29.2,2,13,0,Harvest,DELAY
39.5,38.1,10.1,0.3,19,7,14,Fruit Set,SKIP
4.2,32.7,16.9,37.2,15,11,14,Fruit Development-IV,DELAY
25,86.1,17.9,31.6,12,9,14,Fruit Development-II,DELAY
17.2,58.1,12.8,21.2,6,15,21,Dormancy,SPRAY
23.4,76.2,20.4,40.8,13,7,14,Fruit Set,DELAY
6,78.9,26.4,31.1,15,2,14,Tight Cluster,DELAY
18.7,57.2,10,13.7,4,4,10,Flowering,SPRAY
18.3,58.4,19.3,26.7,19,14,21,Post-Harvest,DELAY
16.3,78.1,23.9,42.3,11,9,14,Fruit Development-II,DELAY
20.8,32.4,9.8,21.7,16,13,0,Harvest,SPRAY
25.9,85.6,13.7,83,17,1,14,Green Tip,DELAY
15.8,81.5,26.5,36.3,16,11,14,Fruit Development-IV,DELAY
14.5,36.6,20.6,40.9,12,4,10,Flowering,DELAY
29.2,88.6,19.4,46.6,14,7,14,Fruit Set,DELAY
10.9,47.5,16.4,53.1,16,12,14,Pre-Harvest,DELAY
-0.7,34.4,0.9,16.6,17,3,14,Pink Bud,SKIP
18,39.4,2.4,19,15,1,14,Green Tip,SPRAY
12.4,78,23.7,34.6,11,4,10,Flowering,DELAY
30.7,75.9,5.8,65.2,18,10,14,Fruit Development-III,DELAY
17.4,57.2,27.6,53.2,16,5,14,Petal Fall,DELAY
13.5,52.1,14.4,36.3,17,12,14,Pre-Harvest,DELAY
15.6,83.3,11.3,95.9,20,15,21,Dormancy,DELAY
6.8,40.8,15.3,44.4,3,13,0,Harvest,DELAY
10.1,70.1,8.5,53.9,14,11,14,Fruit Development-IV,DELAY
23.2,68.6,15.5,31.3,13,6,14,Fruitlet,DELAY
2.6,85.9,27.4,28.5,17,9,14,Fruit Development-II,DELAY
27,70.7,18.3,32.2,19,15,21,Dormancy,DELAY
23.3,42.3,5,24.7,7,9,14,Fruit Development-II,SPRAY
28,74.5,17.1,31.1,13,3,14,Pink Bud,DELAY
25.3,55.6,7.7,80,13,13,0,Harvest,DELAY
14.1,47.8,27.5,15.4,19,9,14,Fruit Development-II,DELAY
39.3,47.6,10.3,9.9,15,10,14,Fruit Development-III,SKIP
30.8,68.3,7.3,23.5,2,15,21,Dormancy,SKIP
16.8,79.8,15.7,46.2,11,1,14,Green Tip,DELAY
15.4,65.2,22.7,43.5,14,6,14,Fruitlet,DELAY
21.1,30.5,7.4,7.7,9,15,21,Dormancy,SPRAY
27.1,53,27,30.4,18,0,21,Delayed Dormancy,DELAY
20.6,62.6,3.7,11.1,2,4,10,Flowering,SKIP
10.8,70.3,16.8,49.8,11,12,14,Pre-Harvest,DELAY
-2.4,62.2,1.2,23.7,19,1,14,Green Tip,SKIP
32.9,31.2,20.5,26.3,12,10,14,Fruit Development-III,DELAY
23.7,41.2,6,14.5,20,15,21,Dormancy,SPRAY
21.9,85.1,10,71.1,14,10,14,Fruit Development-III,DELAY
21.5,89,9.5,77.9,17,9,14,Fruit Development-II,DELAY
26.8,30.1,23.9,35.4,7,4,10,Flowering,DELAY
16.8,60.8,10.5,8.7,11,13,0,Harvest,SPRAY
30.2,54.3,15.7,41.6,19,0,21,Delayed Dormancy,DELAY
23.5,33.4,8.7,22.3,0,13,0,Harvest,SPRAY
39.3,39,1.5,0.1,16,2,14,Tight Cluster,SKIP
11.2,28.5,29.3,15.6,20,14,21,Post-Harvest,DELAY
21.2,48.9,32.8,24.2,14,3,14,Pink Bud,DELAY
30.1,72.1,21,54.8,12,9,14,Fruit Development-II,DELAY
8.1,42.5,16.3,29.4,12,5,14,Petal Fall,DELAY
19.7,28.1,27.5,6.9,20,13,0,Harvest,DELAY
9,32,16.9,53.5,19,15,21,Dormancy,DELAY
13.9,46.8,25,50.8,15,12,14,Pre-Harvest,DELAY
29.8,38,4.4,27,2,4,10,Flowering,SKIP
24.8,87.9,24.5,34.8,13,9,14,Fruit Development-II,DELAY
13.4,69.9,2.5,21.5,0,12,14,Pre-Harvest,SKIP
9.5,76.8,25.3,27.1,19,14,21,Post-Harvest,DELAY
14.3,51.3,32.2,22.1,20,15,21,Dormancy,DELAY
19.3,51.1,20.1,52.6,20,14,21,Post-Harvest,DELAY
30.5,48.4,26.3,41.1,0,13,0,Harvest,DELAY
25.7,48.1,22.4,26.3,16,3,14,Pink Bud,DELAY
13.9,76.8,13.7,28,12,12,14,Pre-Harvest,DELAY
16.1,75.2,21.4,40,13,7,14,Fruit Set,DELAY
12.6,84.8,13.4,49.9,20,0,21,Delayed Dormancy,DELAY
19,33.3,29.8,13.3,17,4,10,Flowering,DELAY
10,53.4,25.2,9.6,20,14,21,Post-Harvest,DELAY
28.7,58.5,20.8,34.9,14,5,14,Petal Fall,DELAY
38.4,43.7,10.3,24.7,20,14,21,Post-Harvest,SPRAY
13.5,85.1,11.3,55,3,13,0,Harvest,DELAY
19.1,65.5,12.1,77.3,19,5,14,Petal Fall,DELAY
24,63.2,17.6,50.4,15,10,14,Fruit Development-III,DELAY
27.4,44.3,21.8,27.5,12,5,14,Petal Fall,DELAY
11.6,39.9,26.4,10.9,18,10,14,Fruit Development-III,DELAY
17.2,56.6,20.6,52.6,8,4,10,Flowering,DELAY
7.1,45.4,19.2,26.6,13,5,14,Petal Fall,DELAY
9,50,21,44.6,19,0,21,Delayed Dormancy,DELAY
32.2,56.8,13.3,25.9,18,15,21,Dormancy,DELAY
20.8,61.7,6.4,87.6,20,9,14,Fruit Development-II,DELAY
6.1,32.4,24.4,49.7,19,15,21,Dormancy,DELAY
17.9,39.2,18.8,47.1,16,1,14,Green Tip,DELAY
19,43.9,9,9.7,15,7,14,Fruit Set,SPRAY
24.2,64.4,8.5,12,9,7,14,Fruit Set,SPRAY
31.3,77.4,21.1,41,11,4,10,Flowering,DELAY
15.4,35.7,33.6,27.6,19,5,14,Petal Fall,DELAY
1.4,62.1,1.9,4.1,16,3,14,Pink Bud,SKIP
26.3,56.8,21.2,33.1,14,7,14,Fruit Set,DELAY
24.8,82.2,13.5,40.5,13,12,14,Pre-Harvest,DELAY
19.6,62.8,25.9,50.4,11,11,14,Fruit Development-IV,DELAY
27.1,80.3,24.7,36.9,19,14,21,Post-Harvest,DELAY
13.6,43.4,20.8,28.9,17,6,14,Fruitlet,DELAY
34.2,74.5,12.7,43.8,19,15,21,Dormancy,DELAY
18.7,55,13.4,61.7,20,0,21,Delayed Dormancy,DELAY
11.1,39.4,25.8,18.6,19,9,14,Fruit Development-II,DELAY
25,55.2,29.3,2.6,14,5,14,Petal Fall,DELAY
12.7,39,7.5,0.2,20,0,21,Delayed Dormancy,SPRAY
17.2,33.6,13.1,36.5,16,3,14,Pink Bud,DELAY
28.4,30.5,32.7,21.1,15,3,14,Pink Bud,DELAY
9.2,56,6.2,20.2,5,4,10,Flowering,SPRAY
24.2,53.8,15.5,51.9,8,4,10,Flowering,DELAY
15.8,87.6,17,29.2,13,3,14,Pink Bud,DELAY
22.2,54.3,10.9,19.3,10,2,14,Tight Cluster,SPRAY
20.2,59.9,4.1,1.5,3,9,14,Fruit Development-II,SKIP
20,78.8,7.4,98.9,20,15,21,Dormancy,DELAY
18.3,51.9,2.4,13.2,1,10,14,Fruit Development-III,SKIP
2.5,39,26.8,53.5,19,0,21,Delayed Dormancy,DELAY
20,52,23.2,27.5,15,9,14,Fruit Development-II,DELAY
10.7,61.8,34.7,4.4,15,4,10,Flowering,DELAY
29.5,67.2,22.3,34.3,14,12,14,Pre-Harvest,DELAY
28.5,34.6,6.7,1.2,20,7,14,Fruit Set,SPRAY
24.4,61.6,13.3,77.1,20,5,14,Petal Fall,DELAY
25.5,89.9,10.3,57.7,14,8,14,Fruit Development-I,DELAY
11.8,29.2,23.4,42.3,11,10,14,Fruit Development-III,DELAY
15,57.5,21.1,36,19,15,21,Dormancy,DELAY
26.3,32.5,23.9,25.1,17,3,14,Pink Bud,DELAY
-2.5,75.9,12,15.5,20,0,21,Delayed Dormancy,SKIP
1.4,54.3,1.7,18.9,14,7,14,Fruit Set,SKIP
30.6,68.2,1,13,4,5,14,Petal Fall,SPRAY
19,44.8,4.1,22,9,9,14,Fruit Development-II,SPRAY
23.3,57.1,24.4,30.9,15,7,14,Fruit Set,DELAY
-4.8,77.1,0,18.4,20,7,14,Fruit Set,SKIP
30.6,46.8,13.5,27.2,2,9,14,Fruit Development-II,DELAY
28.7,75.8,9.8,69.9,19,8,14,Fruit Development-I,DELAY
20.2,66.4,18.3,42.8,11,2,14,Tight Cluster,DELAY
6.7,44,25.6,52.8,3,13,0,Harvest,DELAY
14.1,62.7,26.4,21.6,14,10,14,Fruit Development-III,DELAY
38.8,77.9,2.9,8.6,14,4,10,Flowering,SKIP
27.2,52.9,25.4,23.4,16,3,14,Pink Bud,DELAY
30.3,70.8,0.7,66.3,12,4,10,Flowering,DELAY
32.8,61.1,20.8,27.8,18,0,21,Delayed Dormancy,DELAY
26.6,69.3,1.4,18.1,16,4,10,Flowering,SPRAY
11.3,77.8,12.3,26.9,16,2,14,Tight Cluster,DELAY
5.3,80.1,24.9,28.7,19,14,21,Post-Harvest,DELAY
18.5,59,6.9,10.7,6,1,14,Green Tip,SPRAY
15,72.8,2.1,81.5,18,5,14,Petal Fall,DELAY
20,82.4,19.7,27.6,14,7,14,Fruit Set,DELAY
25.1,76.8,16,54.8,11,4,10,Flowering,DELAY
30.1,48.3,20.7,39.5,20,0,21,Delayed Dormancy,DELAY
9.6,78.9,0.4,90.9,16,10,14,Fruit Development-III,DELAY
19,48.2,21.3,32,12,1,14,Green Tip,DELAY
14.9,87.7,12.8,54.7,15,3,14,Pink Bud,DELAY
12.9,78.7,11.3,85.5,18,12,14,Pre-Harvest,DELAY
